Alloy formula,Al,Cr,Hf,Mo,Nb,Si,Ta,Ti,V,W,Zr,Temperature (C),time (h),specific mass gain (mg/cm2),source
Al0.5CrMoNbV,10.15,23.04,0.0,22.16,22.5,0.0,0.0,0.0,22.15,0.0,0.0,1300,10,195.48,http://dx.doi.org/10.1016/j.jallcom.2013.08.102
Al0.5CrMoNbTiV,8.15,18.92,0.0,18.08,18.35,0.0,0.0,18.12,18.38,0.0,0.0,1300,10,148.85,http://dx.doi.org/10.1016/j.jallcom.2013.08.102
Al0.5CrMoNbTiVSi0.3,6.96,16.95,0.0,17.14,17.68,5.69,0.0,18.26,17.32,0.0,0.0,1300,10,116.59,http://dx.doi.org/10.1016/j.jallcom.2013.08.102
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,900,10,0.32,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1000,10,1.75,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1100,10,3.33,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi-1Si,19.8,19.8,0.0,19.8,19.8,1.0,0.0,19.8,0.0,0.0,0.0,900,10,0.42,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi-1Si,19.8,19.8,0.0,19.8,19.8,1.0,0.0,19.8,0.0,0.0,0.0,1000,10,1.68,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCrMoNbTi-1Si,19.8,19.8,0.0,19.8,19.8,1.0,0.0,19.8,0.0,0.0,0.0,1100,10,2.26,http://dx.doi.org/10.1016/j.jallcom.2016.07.219
AlCr2Nb2Ti2Zr,12.5,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,12.5,1000,10,12.96,https://doi.org/10.1016/j.jallcom.2020.154427
CrNbTiZr,0.0,24.6,0.0,0.0,26.7,0.0,0.0,23.9,0.0,0.0,24.8,1000,10,45.93,https://doi.org/10.1016/j.jallcom.2017.09.164
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1000,10,1.23,https://doi.org/10.1007/s11085-016-9696-y
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1100,10,3.36,https://doi.org/10.1007/s11085-016-9696-y
AlCrMoTaTi,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1000,10,0.46,https://doi.org/10.1007/s11085-016-9696-y
AlCrMoTaTi,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1100,10,1.52,https://doi.org/10.1007/s11085-016-9696-y
AlCrMoWTi,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1000,10,5.29,https://doi.org/10.1007/s11085-016-9696-y
AlNb1.5Ta0.5Ti1.5Zr0.5,20.0,0.0,0.0,0.0,30.0,0.0,10.0,30.0,0.0,0.0,10.0,1000,10,16.71,https://doi.org/10.1016/j.jallcom.2019.02.128
AlMo0.5NbTa0.5TiZr,18.82,0.0,0.0,8.67,21.55,0.0,10.2,21.87,0.0,0.0,18.89,1000,10,31.54,https://doi.org/10.1016/S1003-6326(19)65054-5
AlNbTa0.5TiZr,19.35,0.0,0.0,0.0,22.48,0.0,12.59,23.5,0.0,0.0,22.08,1000,10,31.19,https://doi.org/10.1016/S1003-6326(19)65054-5
NbTa0.5TiZr,0.0,0.0,0.0,0.0,27.76,0.0,16.88,30.75,0.0,0.0,24.61,1000,10,73.59,https://doi.org/10.1016/S1003-6326(19)65054-5
AlCrMoTa,25.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1000,10,0.12,https://doi.org/10.1016/j.corsci.2019.108161
AlCrMoTaTi,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1000,10,1.52,https://doi.org/10.1016/j.corsci.2019.108161
AlCrMoNb,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,10,2.64,https://doi.org/10.1016/j.corsci.2019.108161
AlCrMoNbTi,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1000,10,1.74,https://doi.org/10.1016/j.corsci.2019.108161
AlCrMoTaTi,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,900,10,0.21,http://dx.doi.org/10.1080/09603409.2017.1389115
AlCrMoTaTi,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1000,10,0.47,http://dx.doi.org/10.1080/09603409.2017.1389115
AlCrMoTaTi,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1100,10,1.49,http://dx.doi.org/10.1080/09603409.2017.1389115
AlCrMoTaTi-1Si,19.8,19.8,0.0,19.8,0.0,1.0,19.8,19.8,0.0,0.0,0.0,900,10,0.36,http://dx.doi.org/10.1080/09603409.2017.1389115
AlCrMoTaTi-1Si,19.8,19.8,0.0,19.8,0.0,1.0,19.8,19.8,0.0,0.0,0.0,1000,10,0.64,http://dx.doi.org/10.1080/09603409.2017.1389115
AlCrMoTaTi-1Si,19.8,19.8,0.0,19.8,0.0,1.0,19.8,19.8,0.0,0.0,0.0,1100,10,2.09,http://dx.doi.org/10.1080/09603409.2017.1389115
AlCrNbTiZr,20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,800,10,9.97,https://doi.org/10.1016/j.vacuum.2019.01.026
AlCrNbTiZr,20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,1000,10,18.73,https://doi.org/10.1016/j.vacuum.2019.01.026
AlCrNbTiZr,20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,1200,10,60.19,https://doi.org/10.1016/j.vacuum.2019.01.026
Al20Cr25Nb20Ti20Zr15,20.0,25.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,15.0,800,10,11.62,https://doi.org/10.1007/s11665-019-04177-x
AlTiCrMoNb-4,46.3,5.1,0.0,5.5,3.1,0.0,0.0,40.1,0.0,0.0,0.0,900,10,0.86,http://dx.doi.org/10.1016/j.intermet.2013.07.023
AlTiCrMoNb-4,46.3,5.1,0.0,5.5,3.1,0.0,0.0,40.1,0.0,0.0,0.0,1000,10,2.72,http://dx.doi.org/10.1016/j.intermet.2013.07.023
AlTiCrMoNb-5,48.6,7.2,0.0,7.2,4.8,0.0,0.0,32.2,0.0,0.0,0.0,900,10,1.14,http://dx.doi.org/10.1016/j.intermet.2013.07.023
AlTiCrMoNb-3,46.0,3.0,0.0,2.0,0.5,0.0,0.0,48.5,0.0,0.0,0.0,900,10,1.23,http://dx.doi.org/10.1016/j.intermet.2013.07.023
AlTiCrMoNb-3,46.0,3.0,0.0,2.0,0.5,0.0,0.0,48.5,0.0,0.0,0.0,1000,10,1.56,http://dx.doi.org/10.1016/j.intermet.2013.07.023
AlTiCrMoNb-1,35.6,4.0,0.0,2.4,1.0,0.0,0.0,57.0,0.0,0.0,0.0,900,10,4.36,http://dx.doi.org/10.1016/j.intermet.2013.07.023
AlTiCrMoNb-2,37.7,3.5,0.0,1.5,0.5,0.0,0.0,56.8,0.0,0.0,0.0,900,10,6.0,http://dx.doi.org/10.1016/j.intermet.2013.07.023
Al5CrMoTaTi,5.0,23.75,0.0,23.75,0.0,0.0,23.75,23.75,0.0,0.0,0.0,1200,10,4.45,https://doi.org/10.1007/s11085-021-10046-7
Al10CrMoTaTi,10.0,22.5,0.0,22.5,0.0,0.0,22.5,22.5,0.0,0.0,0.0,1200,10,3.73,https://doi.org/10.1007/s11085-021-10046-7
Al15CrMoTaTi,15.0,21.25,0.0,21.25,0.0,0.0,21.25,21.25,0.0,0.0,0.0,1200,10,3.09,https://doi.org/10.1007/s11085-021-10046-7
Al20CrMoTaTi,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,1200,10,3.54,https://doi.org/10.1007/s11085-021-10046-7
NbMoWZr,0.0,0.0,0.0,2.0,92.0,0.0,0.0,0.0,0.0,5.0,1.0,800,10,126.04,https://doi.org/10.1016/j.corsci.2021.109513
HfNbTaTiZr,0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,700,10,39.31,https://doi.org/10.1002/adem.201700948
HfNbTaTiZr,0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,900,10,26.57,https://doi.org/10.1002/adem.201700948
HfNbTaTiZr,0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,1100,10,37.76,https://doi.org/10.1002/adem.201700948
Al0.3HfNbTaTiZr,5.66,0.0,18.87,0.0,18.87,0.0,18.87,18.87,0.0,0.0,18.87,700,10,5.89,https://doi.org/10.1002/adem.201700948
Al0.3HfNbTaTiZr,5.66,0.0,18.87,0.0,18.87,0.0,18.87,18.87,0.0,0.0,18.87,900,10,12.16,https://doi.org/10.1002/adem.201700948
Al0.3HfNbTaTiZr,5.66,0.0,18.87,0.0,18.87,0.0,18.87,18.87,0.0,0.0,18.87,1100,10,25.17,https://doi.org/10.1002/adem.201700948
Al0.5HfNbTaTiZr,9.09,0.0,18.18,0.0,18.18,0.0,18.18,18.18,0.0,0.0,18.18,700,10,4.97,https://doi.org/10.1002/adem.201700948
Al0.5HfNbTaTiZr,9.09,0.0,18.18,0.0,18.18,0.0,18.18,18.18,0.0,0.0,18.18,900,10,11.64,https://doi.org/10.1002/adem.201700948
Al0.5HfNbTaTiZr,9.09,0.0,18.18,0.0,18.18,0.0,18.18,18.18,0.0,0.0,18.18,1100,10,20.36,https://doi.org/10.1002/adem.201700948
Al0.5HfNbTaTiZr,9.09,0.0,18.18,0.0,18.18,0.0,18.18,18.18,0.0,0.0,18.18,1300,10,209.93,https://doi.org/10.1002/adem.201700948
Al0.75HfNbTaTiZr,13.04,0.0,17.39,0.0,17.39,0.0,17.39,17.39,0.0,0.0,17.39,700,10,4.25,https://doi.org/10.1002/adem.201700948
Al0.75HfNbTaTiZr,13.04,0.0,17.39,0.0,17.39,0.0,17.39,17.39,0.0,0.0,17.39,900,10,10.66,https://doi.org/10.1002/adem.201700948
Al0.75HfNbTaTiZr,13.04,0.0,17.39,0.0,17.39,0.0,17.39,17.39,0.0,0.0,17.39,1100,10,17.73,https://doi.org/10.1002/adem.201700948
Al0.75HfNbTaTiZr,13.04,0.0,17.39,0.0,17.39,0.0,17.39,17.39,0.0,0.0,17.39,1300,10,121.9858,https://doi.org/10.1002/adem.201700948
AlHfNbTaTiZr,16.67,0.0,16.67,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,700,10,2.32,https://doi.org/10.1002/adem.201700948
AlHfNbTaTiZr,16.67,0.0,16.67,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,900,10,8.09,https://doi.org/10.1002/adem.201700948
AlHfNbTaTiZr,16.67,0.0,16.67,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,1100,10,15.32,https://doi.org/10.1002/adem.201700948
AlHfNbTaTiZr,16.67,0.0,16.67,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,1300,10,98.94,https://doi.org/10.1002/adem.201700948
Nb-18Si-5Cr-5Al-5Mo,4.5,4.8,0.0,5.2,67.8,17.7,0.0,0.0,0.0,0.0,0.0,800,10,7.55,https://doi.org/10.1016/j.msea.2006.08.093
Nb-24Ti-18Si-5Cr-5Al-5Mo,4.8,4.7,0.0,4.9,43.1,18.2,0.0,24.3,0.0,0.0,0.0,800,10,2.06,https://doi.org/10.1016/j.msea.2006.08.093
Nb-24Ti-18Si-5Cr-5Al-2Mo,4.8,5.2,0.0,2.0,45.1,17.5,0.0,25.4,0.0,0.0,0.0,800,10,0.66,https://doi.org/10.1016/j.msea.2006.08.093
Nb-24Ti-18Si-5Cr-5Al-2Mo,4.8,5.2,0.0,2.0,45.1,17.5,0.0,25.4,0.0,0.0,0.0,1200,10,18.1,https://doi.org/10.1016/j.msea.2006.08.093
Nb-24Ti-18Si-5Cr-5Al-2Mo-5Hf,4.6,4.5,5.2,2.0,41.2,18.9,0.0,23.6,0.0,0.0,0.0,800,10,1.23,https://doi.org/10.1016/j.msea.2006.08.093
Nb-24Ti-18Si-5Cr-5Al-2Mo-5Hf,4.6,4.5,5.2,2.0,41.2,18.9,0.0,23.6,0.0,0.0,0.0,1200,10,17.45,https://doi.org/10.1016/j.msea.2006.08.093
AlNbTiVZr0.25,23.53,0.0,0.0,0.0,23.53,0.0,0.0,23.53,23.53,0.0,5.88,600,10,1.83,https://doi.org/10.3390/ma11122526
AlNbTiVZr0.25,23.53,0.0,0.0,0.0,23.53,0.0,0.0,23.53,23.53,0.0,5.88,700,10,7.27,https://doi.org/10.3390/ma11122526
AlNbTiVZr0.25,23.53,0.0,0.0,0.0,23.53,0.0,0.0,23.53,23.53,0.0,5.88,800,10,14.73,https://doi.org/10.3390/ma11122526
AlNbTiVZr0.25,23.53,0.0,0.0,0.0,23.53,0.0,0.0,23.53,23.53,0.0,5.88,900,10,98.33,https://doi.org/10.3390/ma11122526
Al-25.5Nb-6Cr-0.5Hf,68.0,6.0,0.5,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,800,10,0.29,https://doi.org/10.3390/ma12162531
Al-25.5Nb-6Cr-0.5Hf,68.0,6.0,0.5,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,1200,10,0.57,https://doi.org/10.3390/ma12162531
Al-25.5Nb-6Cr-0.5Hf,68.0,6.0,0.5,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,1300,10,3.26,https://doi.org/10.3390/ma12162531
Al0.25HfMoNbTi,5.88,0.0,23.53,23.53,23.53,0.0,0.0,23.53,0.0,0.0,0.0,1000,10,21.93,https://doi.org/10.1016/j.corsci.2021.109711
Al0.5HfMoNbTi,11.11,0.0,22.22,22.22,22.22,0.0,0.0,22.23,0.0,0.0,0.0,1000,10,30.55,https://doi.org/10.1016/j.corsci.2021.109711
Al0.75HfMoNbTi,15.79,0.0,21.05,21.05,21.05,0.0,0.0,21.05,0.0,0.0,0.0,1000,10,32.07,https://doi.org/10.1016/j.corsci.2021.109711
AlHfMoNbTi,20.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,1000,10,75.12,https://doi.org/10.1016/j.corsci.2021.109711
Al-Cr-Mo-Nb-Si-Ta-Ti,17.6,25.2,0.0,20.3,15.2,2.9,13.4,5.4,0.0,0.0,0.0,1000,10,0.38,https://doi.org/10.1038/s41598-019-43819-x
Al-Cr-Mo-Nb-Si-Ta-Ti,17.6,25.2,0.0,20.3,15.2,2.9,13.4,5.4,0.0,0.0,0.0,1100,10,0.75,https://doi.org/10.1038/s41598-019-43819-x
Al-Cr-Mo-Nb-Si-Ta-Ti,17.6,25.2,0.0,20.3,15.2,2.9,13.4,5.4,0.0,0.0,0.0,1200,10,2.08,https://doi.org/10.1016/j.intermet.2020.106711
Al-Cr-Mo-Nb-Si-Ta-Ti,17.6,25.2,0.0,20.3,15.2,2.9,13.4,5.4,0.0,0.0,0.0,1300,10,3.96,https://doi.org/10.1016/j.intermet.2020.106711
Al-Cr-Mo-Nb-Si-Ta-Ti,17.6,25.2,0.0,20.3,15.2,2.9,13.4,5.4,0.0,0.0,0.0,1400,10,8.24,https://doi.org/10.1016/j.intermet.2020.106711
Ti2ZrHf0.5VNb0.5,0.0,0.0,10.0,0.0,10.0,0.0,0.0,40.0,20.0,0.0,20.0,800,10,116.25,https://doi.org/10.1016/j.matchar.2021.111287
Ti2ZrHf0.5VNb0.5Al0.5,9.09,0.0,9.09,0.0,9.09,0.0,0.0,36.36,18.19,0.0,18.18,800,10,34.71,https://doi.org/10.1016/j.matchar.2021.111287
Ti2ZrHf0.5VNb0.5Al1,16.67,0.0,8.33,0.0,8.33,0.0,0.0,33.33,16.67,0.0,16.67,800,10,26.76,https://doi.org/10.1016/j.matchar.2021.111287
Al0.5Nb0.5Ti2VZr,10.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,20.0,0.0,20.0,800,10,53.19,https://doi.org/10.1007/s40843-022-2045-4
NbTi2VZr,0.0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,20.0,0.0,20.0,800,10,113.48,https://doi.org/10.1007/s40843-022-2045-4
AlMo0.5NbTa0.5TiZr,18.92,0.0,0.0,10.29,20.16,0.0,11.32,19.33,0.0,0.0,19.98,800,10,2.42,https://doi.org/10.1016/j.vacuum.2022.111069
CrMoNbTaV,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,900,10,17.45,https://doi.org/10.1557/jmr.2018.340
CrMoNbTaV,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,1000,10,28.11,https://doi.org/10.1557/jmr.2018.340
CrMoNbTaV,0.0,20.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,1100,10,24.68,https://doi.org/10.1557/jmr.2018.340
TaTiCr,0.0,32.6,0.0,0.0,0.0,0.0,30.6,36.8,0.0,0.0,0.0,1200,10,6.24,https://doi.org/10.1016/j.jallcom.2023.169000
Ta4TiCr3,0.0,37.9,0.0,0.0,0.0,0.0,49.9,12.2,0.0,0.0,0.0,1200,10,12.2,https://doi.org/10.1016/j.jallcom.2023.169000
Ta4Ti3Cr,0.0,11.9,0.0,0.0,0.0,0.0,50.9,37.2,0.0,0.0,0.0,1200,10,59.29,https://doi.org/10.1016/j.jallcom.2023.169000
Ta2TiCr,0.0,31.0,0.0,0.0,0.0,0.0,46.5,22.5,0.0,0.0,0.0,1200,10,121.13,https://doi.org/10.1016/j.jallcom.2023.169000
WTaNbTiAl,20.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,1000,10,7.21,https://doi.org/10.1016/j.corsci.2022.110377
MoTaTiCr,0.0,25.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1000,10,2.1,https://doi.org/10.1016/j.jallcom.2021.162733
WTaTiCr,0.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,1000,10,9.3,https://doi.org/10.1016/j.jallcom.2021.162733
WMoTaTiCr,0.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,1000,10,14.49,https://doi.org/10.1016/j.jallcom.2021.162733
WTaAlCr,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,1000,10,17.55,https://doi.org/10.1016/j.jallcom.2021.162733
WMoTaAlCr,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,1000,10,7.2,https://doi.org/10.1016/j.jallcom.2021.162733
Al0.5NbTaTi,8.6,0.0,0.0,0.0,30.1,0.0,35.2,26.1,0.0,0.0,0.0,1000,10,15.486,Tom_ini
Al0.5CrMoNbTi,10.3,21.0,0.0,23.9,23.4,0.0,0.0,21.5,0.0,0.0,0.0,1000,10,0.818,Tom_ini
Al0.5CrMoNbTaTi,6.9,15.7,0.0,20.6,18.7,0.0,21.6,16.5,0.0,0.0,0.0,1000,10,1.13,Tom_ini
CrNbTaTiZr,0.0,21.2,0.0,0.0,19.1,0.0,19.3,19.3,0.0,0.0,21.0,1000,10,43.242,Tom_ini
CrNbTaTiZr-BCC,0.0,12.6,0.0,0.0,27.5,0.0,36.2,15.8,0.0,0.0,7.9,1000,10,74.966,Tom_ini
Al0.5CrNbTaTiZr,10.0,19.6,0.0,0.0,16.3,0.0,17.5,17.0,0.0,0.0,19.5,1000,10,16.307,Tom_ini
Al0.5CrNbTaTiZr-BCC,7.49,15.97,0.0,0.0,23.86,0.0,31.01,14.05,0.0,0.0,7.62,1000,10,38.214,Tom_ini
NbTaTi,0.0,0.0,0.0,0.0,33.1,0.0,36.2,30.7,0.0,0.0,0.0,1000,10,21.105,Tom_ini
Cr0.25NbTaTi,0.0,10.9,0.0,0.0,27.1,0.0,28.8,33.2,0.0,0.0,0.0,1000,10,17.119,Tom_ini
Nb-8Si-9Al-10Ti,9.0,0.0,0.0,0.0,73.0,8.0,0.0,10.0,0.0,0.0,0.0,1000,20,168.0,https://doi.org/10.1016/S1468-6996(02)00005-0
Nb-10Si-9Al-10Ti,9.0,0.0,0.0,0.0,71.0,10.0,0.0,10.0,0.0,0.0,0.0,1000,20,79.0,https://doi.org/10.1016/S1468-6996(02)00005-0
Nb-6Si-11Al-15Ti,11.0,0.0,0.0,0.0,68.0,6.0,0.0,15.0,0.0,0.0,0.0,1000,20,45.0,https://doi.org/10.1016/S1468-6996(02)00005-0
Nb-8Si-11Al-15Ti,11.0,0.0,0.0,0.0,66.0,8.0,0.0,15.0,0.0,0.0,0.0,1000,20,45.0,https://doi.org/10.1016/S1468-6996(02)00005-0
Nb-19Si-5Mo,0.0,0.0,0.0,5.0,76.0,19.0,0.0,0.0,0.0,0.0,0.0,800,20,28.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-19Si-5Mo,0.0,0.0,0.0,5.0,76.0,19.0,0.0,0.0,0.0,0.0,0.0,1000,20,342.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-19Si-5Mo,0.0,0.0,0.0,5.0,76.0,19.0,0.0,0.0,0.0,0.0,0.0,1150,20,99.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-18Si-26Mo,0.0,0.0,0.0,26.0,56.0,18.0,0.0,0.0,0.0,0.0,0.0,800,20,107.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-18Si-26Mo,0.0,0.0,0.0,26.0,56.0,18.0,0.0,0.0,0.0,0.0,0.0,1000,20,42.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-18Si-26Mo,0.0,0.0,0.0,26.0,56.0,18.0,0.0,0.0,0.0,0.0,0.0,1150,20,50.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-13Si-4Mo,0.0,0.0,0.0,4.0,83.0,13.0,0.0,0.0,0.0,0.0,0.0,800,20,10.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-13Si-4Mo,0.0,0.0,0.0,4.0,83.0,13.0,0.0,0.0,0.0,0.0,0.0,1000,20,323.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-13Si-4Mo,0.0,0.0,0.0,4.0,83.0,13.0,0.0,0.0,0.0,0.0,0.0,1150,20,62.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-12Si-15Mo,0.0,0.0,0.0,15.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,800,20,21.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-12Si-15Mo,0.0,0.0,0.0,15.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,1000,20,11.0,https://doi.org/10.1007/s11661-007-9398-9
Nb-12Si-15Mo,0.0,0.0,0.0,15.0,63.0,12.0,0.0,0.0,0.0,0.0,0.0,1150,20,53.0,https://doi.org/10.1007/s11661-007-9398-9
Cr-31Nb,0.0,69.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,20,12.46,http://dx.doi.org/10.1179/mht.2000.17.2.009
Cr-18.5Nb,0.0,81.5,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1100,20,18.85,http://dx.doi.org/10.1179/mht.2000.17.2.009
Cr-31Ta,0.0,69.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,20,13.33,http://dx.doi.org/10.1179/mht.2000.17.2.009
Cr-9.5Ta,0.0,90.5,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1100,20,6.4,http://dx.doi.org/10.1179/mht.2000.17.2.009
AlTi,53.46,0.0,0.0,0.0,0.0,0.0,0.0,46.54,0.0,0.0,0.0,900,20,1.25,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-10wtCr,47.78,7.17,0.0,0.0,0.0,0.0,0.0,45.05,0.0,0.0,0.0,900,20,3.95,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtCr,53.83,3.15,0.0,0.0,0.0,0.0,0.0,43.02,0.0,0.0,0.0,900,20,5.88,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtMo,50.52,0.0,0.0,1.98,0.0,0.0,0.0,47.5,0.0,0.0,0.0,900,20,1.56,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtNb,51.16,0.0,0.0,0.0,2.51,0.0,0.0,46.33,0.0,0.0,0.0,900,20,1.05,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtNb,51.16,0.0,0.0,0.0,2.51,0.0,0.0,46.33,0.0,0.0,0.0,1000,20,2.53,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtNb,51.16,0.0,0.0,0.0,2.51,0.0,0.0,46.33,0.0,0.0,0.0,1100,20,8.86,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtV,49.6,0.0,0.0,0.0,0.0,0.0,0.0,46.94,3.46,0.0,0.0,900,20,5.43,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtSi,48.49,0.0,0.0,0.0,0.0,5.62,0.0,45.89,0.0,0.0,0.0,900,20,0.75,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtSi,48.49,0.0,0.0,0.0,0.0,5.62,0.0,45.89,0.0,0.0,0.0,1000,20,5.59,https://doi.org/10.1016/0956-716X(95)00327-R
AlTi-5wtSi,48.49,0.0,0.0,0.0,0.0,5.62,0.0,45.89,0.0,0.0,0.0,1100,20,14.81,https://doi.org/10.1016/0956-716X(95)00327-R
Al3Ti,75.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1000,20,0.17,https://doi.org/10.1007/BF01105677
AlTi,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,800,20,0.28,https://doi.org/10.1007/BF01105677
AlTi,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,900,20,1.11,https://doi.org/10.1007/BF01105677
AlTi,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1000,20,12.77,https://doi.org/10.1007/BF01105677
Ti-47Al,47.12,0.0,0.0,0.0,0.0,0.0,0.0,52.88,0.0,0.0,0.0,800,20,0.45,https://doi.org/10.1007/BF03027458
Ti-47Al,47.12,0.0,0.0,0.0,0.0,0.0,0.0,52.88,0.0,0.0,0.0,900,20,0.9,https://doi.org/10.1007/BF03027458
Ti-47Al,47.12,0.0,0.0,0.0,0.0,0.0,0.0,52.88,0.0,0.0,0.0,1000,20,9.37,https://doi.org/10.1007/BF03027458
Ti-51Al,50.56,0.0,0.0,0.0,0.0,0.0,0.0,49.44,0.0,0.0,0.0,800,20,0.28,https://doi.org/10.1007/BF03027458
Ti-51Al,50.56,0.0,0.0,0.0,0.0,0.0,0.0,49.44,0.0,0.0,0.0,900,20,1.07,https://doi.org/10.1007/BF03027458
Ti-51Al,50.56,0.0,0.0,0.0,0.0,0.0,0.0,49.44,0.0,0.0,0.0,1000,20,4.89,https://doi.org/10.1007/BF03027458
Ti-43Al2W0.1Si,43.0,0.0,0.0,0.0,0.0,0.1,0.0,54.9,0.0,2.0,0.0,800,20,0.14,https://doi.org/10.1007/BF03027458
